id,name,img,artist,genre(s),mc rating,usr rating
/music/balance/lorelle-meets-the-obsolete,Balance,http://static.metacritic.com/images/products/music/4/26e4ec559fc6194a4207eaece52948ba-98.jpg,Lorelle Meets the Obsolete,"Pop/Rock,Alternative/Indie Rock,Indie Rock",79,
/music/van-lear-rose/loretta-lynn,Van Lear Rose,http://static.metacritic.com/images/products/music/8/c53f80d40f680b29bd0c2fbffa69a812-98.jpg,Loretta Lynn,Country,97,8.6
/music/coal-miners-daughter-a-tribute-to-loretta-lynn/loretta-lynn,Coal Miner's Daughter: A Tribute to Loretta Lynn,http://static.metacritic.com/images/products/music/3/da6d947323183203636058bdc5df455e-98.jpg,Loretta Lynn,Country,74,
/music/full-circle/loretta-lynn,Full Circle,http://static.metacritic.com/images/products/music/3/cf3846112e38296c3e15abd0117d3a4c-98.jpg,Loretta Lynn,"Country,Alt-Country,Americana",84,7.5
/music/unglamorous/lori-mckenna,Unglamorous,http://static.metacritic.com/images/products/music/2/af7b3b0e6a1008489f5bd53fe858d8bd-98.jpg,Lori McKenna,"Country,Folk",80,7.2
/music/lorraine/lori-mckenna,Lorraine,http://static.metacritic.com/images/products/music/7/7a260928401467b4fa89e612ebd4ebfa-98.jpg,Lori McKenna,"Folk,Pop/Rock,Contemporary",73,
/music/the-bird-the-rifle/lori-mckenna,The Bird & the Rifle,http://static.metacritic.com/images/products/music/0/86b8d6ad472f9d15f0e2dcb88fc10b7d-98.jpg,Lori McKenna,"Country,Folk,Americana",82,
/music/build-with-erosion/the-berg-sans-nipple,Build with Erosion,http://static.metacritic.com/images/products/music/1/86221240eb58499966e149b09ae37f24-98.jpg,Lori Sean Berg,"Pop/Rock,Alternative/Indie Rock,Alternative Pop/Rock",66,
/music/ask-the-dust/lorn,Ask the Dust,http://static.metacritic.com/images/products/music/1/83806c467f5376d931bdf19538d5ae28-98.jpg,Lorn,Electronic,81,8.6
/music/los-angeles-police-department/los-angeles-police-department,Los Angeles Police Department,http://static.metacritic.com/images/products/music/1/f5777257a727dfb94b6d225f19309779-98.jpg,Los Angeles Police Department,"Pop/Rock,Alternative/Indie Rock,Lo-Fi",80,
/music/hold-on-now-youngster/los-campesinos!,"Hold On Now, Youngster",http://static.metacritic.com/images/products/music/9/eafb811787df44ec622633957b6f2730-98.jpg,Los Campesinos!,"Indie,Rock",81,8.9
/music/we-are-beautiful-we-are-doomed/los-campesinos!,"We are Beautiful, We Are Doomed",http://static.metacritic.com/images/products/music/8/199567795c5a7cfb49308b998b016c52-98.jpg,Los Campesinos!,"Indie,Rock",82,8.3
/music/romance-is-boring/los-campesinos!,Romance Is Boring,http://static.metacritic.com/images/products/music/3/7c3dc2795380f7d9eb0e5f2de0b42bf0-98.jpg,Los Campesinos!,"Indie,Rock",75,8.2
/music/hello-sadness/los-campesinos!,Hello Sadness,http://static.metacritic.com/images/products/music/8/90769a60b6661d9bff7fa0b615dc8193-98.jpg,Los Campesinos!,"Rock,Indie Rock",76,7.7
/music/no-blues/los-campesinos!,No Blues,http://static.metacritic.com/images/products/music/3/eed1ff0576663a55fbab58b7c160df76-98.jpg,Los Campesinos!,"Pop/Rock,Alternative/Indie Rock,Indie Rock",79,8.6
/music/a-los-campesinos!-christmas-ep/los-campesinos!,A Los Campesinos! Christmas [EP],http://static.metacritic.com/images/products/music/6/2748e20c4e50d77cbef6887d153e21ca-98.jpg,Los Campesinos!,"Holiday,Pop/Rock,Alternative/Indie Rock",75,9
/music/sick-scenes/los-campesinos!,Sick Scenes,http://static.metacritic.com/images/products/music/7/71d0c9537ff02df20201a48290ac685f-98.jpg,Los Campesinos!,"Pop/Rock,Alternative/Indie Rock",74,7.5
/music/the-ride/los-lobos,The Ride,http://static.metacritic.com/images/products/music/9/67d1370d02dee6d02a2031d67a4a559a-98.jpg,Los Lobos,Rock,82,9
/music/the-town-and-the-city/los-lobos,The Town And The City,http://static.metacritic.com/images/products/music/4/c955e9dcf95e7fc8b6730fb086967621-98.jpg,Los Lobos,Rock,87,8.6
/music/tin-can-trust/los-lobos,Tin Can Trust,http://static.metacritic.com/images/products/music/8/f86c41ad76ed2f26c4d2e188b5790a84-98.jpg,Los Lobos,Pop/Rock,76,
/music/kiko-live-20th-anniversary-edition/los-lobos,Kiko Live,http://static.metacritic.com/images/products/music/8/a99b286a92d804328399c23b1f58aaff-98.jpg,Los Lobos,Pop/Rock,,
/music/disconnected-in-new-york-city-live/los-lobos,Disconnected in New York City [Live],http://static.metacritic.com/images/products/music/5/ba6a4f42b2aa7134c1274db653638795-98.jpg,Los Lobos,"Country,Latin,Americana",74,
/music/gates-of-gold/los-lobos,Gates of Gold,http://static.metacritic.com/images/products/music/7/00d3ad63dd8352e95c16f20757a85dbf-98.jpg,Los Lobos,"Latin,Americana,Pop/Rock",77,
/music/forgiven/los-lonely-boys,Forgiven,http://static.metacritic.com/images/products/music/0/41a000087e9714ac26e5abd43e175681-98.jpg,Los Lonely Boys,Rock,55,7.9
/music/rockpango/los-lonely-boys,Rockpango,http://static.metacritic.com/images/products/music/8/97a62550d5a4b5c81c11765a1a635ecc-98.jpg,Los Lonely Boys,"Latin,Pop/Rock,Hard Rock",64,
/music/revelation/los-lonely-boys,Revelation,http://static.metacritic.com/images/products/music/5/a6a04d282eb292e7266c79dd67ad0f34-98.jpg,Los Lonely Boys,"Latin,Pop/Rock,Hard Rock",72,
/music/whats-so-funny-about-peace-love-and-los-straitjackets/los-straitjackets,What's So Funny About Peace Love and Los Straitjackets,http://static.metacritic.com/images/products/music/0/b94a30a2adf49d19f93d0994e103eb11-98.jpg,Los Straitjackets,"Pop/Rock,Alternative/Indie Rock,Indie Rock",79,
/music/canto/los-super-seven,Canto,http://static.metacritic.com/images/products/music/8/6e6100769129b3ddda3a507111efbf2c-98.jpg,Los Super Seven,"Folk,Latin",91,7.6
/music/endless-falls/loscil,Endless Falls,http://static.metacritic.com/images/products/music/7/4fa2e8b46015d1df3d5c386ee1ecbb23-98.jpg,Loscil,"Electronic,Experimental,Techno",80,8.9
/music/sea-island/loscil,Sea Island,http://static.metacritic.com/images/products/music/0/64bd6dd2c26b258a713dded3e3dabc5d-98.jpg,Loscil,"Electronic,Avant-Garde,Post-Rock",81,
/music/monument-builders/loscil,Monument Builders,http://static.metacritic.com/images/products/music/8/0a56fc6a871bfd5175f7311310cce79f-98.jpg,Loscil,"Electronic,Avant-Garde,Pop/Rock",77,
/music/ex-tropical/lost-animal,Ex Tropical,http://static.metacritic.com/images/products/music/6/16ca764aaec356aebecf63b8635155ac-98.jpg,Lost Animal,"Pop/Rock,Alternative/Indie Rock",69,
/music/ojala/lost-horizons,OjalÌÁ,http://static.metacritic.com/images/products/music/4/d48755ee847c94d0cc83e0d9ff2c3f75-98.jpg,Lost Horizons,"Pop/Rock,Alternative/Indie Rock",81,7.4
/music/a-church-that-fits-our-needs/lost-in-the-trees,A Church That Fits Our Needs,http://static.metacritic.com/images/products/music/5/f5ca5e84bb0e23b9ff63fa7ee1d02f96-98.jpg,Lost in the Trees,"Pop/Rock,Alternative/Indie Rock,Indie Rock",79,8.3
/music/past-life/lost-in-the-trees,Past Life,http://static.metacritic.com/images/products/music/7/94e6077b5d9f8db8cc15860debfddf0b-98.jpg,Lost in the Trees,"Pop/Rock,Alternative/Indie Rock,Indie Rock",71,7.3
/music/ost/lost-in-translation,OST,http://static.metacritic.com/images/products/music/0/54b5edb2078cabb89add2396415da0bb-98.jpg,Lost In Translation,"Rock,Alternative,Soundtrack",84,8.6
