CMDLINE /Users/michael/anaconda3/bin/python metacritic_svd_artists.py
MEM 0.023438 1520284784.0728
MEM 12.035156 1520284784.1734
MEM 18.871094 1520284784.2767
MEM 25.273438 1520284784.3819
MEM 33.285156 1520284784.4853
MEM 32.347656 1520284784.5856
MEM 34.578125 1520284784.6874
MEM 43.523438 1520284784.7879
MEM 44.898438 1520284784.8921
MEM 46.992188 1520284784.9951
MEM 48.359375 1520284785.0954
MEM 54.878906 1520284785.1958
MEM 60.039062 1520284785.2961
MEM 65.414062 1520284785.3988
MEM 74.410156 1520284785.5026
MEM 79.609375 1520284785.6072
MEM 84.140625 1520284785.7075
MEM 88.890625 1520284785.8090
MEM 93.757812 1520284785.9112
MEM 95.871094 1520284786.0151
MEM 100.187500 1520284786.1155
MEM 105.265625 1520284786.2165
MEM 105.265625 1520284786.3174
MEM 105.265625 1520284786.4187
MEM 105.265625 1520284786.5227
MEM 105.265625 1520284786.6232
MEM 105.265625 1520284786.7240
MEM 105.265625 1520284786.8242
MEM 105.265625 1520284786.9250
MEM 105.265625 1520284787.0302
MEM 120.460938 1520284787.1304
MEM 146.457031 1520284787.2325
MEM 176.589844 1520284787.3346
MEM 183.945312 1520284787.4359
MEM 200.261719 1520284787.5365
MEM 211.351562 1520284787.6372
MEM 211.386719 1520284787.7383
MEM 211.468750 1520284787.8390
MEM 211.535156 1520284787.9396
MEM 211.617188 1520284788.0441
MEM 211.683594 1520284788.1452
MEM 211.726562 1520284788.2458
MEM 212.121094 1520284788.3482
MEM 212.203125 1520284788.4533
MEM 212.425781 1520284788.5585
MEM 212.753906 1520284788.6633
MEM 213.156250 1520284788.7652
MEM 213.691406 1520284788.8654
MEM 214.128906 1520284788.9703
MEM 214.652344 1520284789.0753
MEM 212.933594 1520284789.1770
FUNC __main__.run_profiler 99.9961 1520284786.0963 688.7891 1520284790.5184
MEM 213.914062 1520284789.2774
MEM 218.531250 1520284789.3786
MEM 222.109375 1520284789.4797
MEM 313.648438 1520284789.5810
MEM 475.957031 1520284789.6862
MEM 635.390625 1520284789.7868
MEM 688.789062 1520284789.8925
MEM 688.789062 1520284789.9950
MEM 688.789062 1520284790.0969
MEM 688.789062 1520284790.2007
MEM 688.789062 1520284790.3054
MEM 688.789062 1520284790.4108
MEM 688.789062 1520284790.5116
MEM 227.996094 1520284790.6128
MEM 145.214844 1520284790.7155
